189100810158866439;47;91;
378945139227492353;358;90;
208134371478077440;456;89;
409431542922870785;481;85;
260470218411868160;940;76;
287726679412178944;439;74;
283985284956291073;683;69;
282829581000376320;686;64;
403565271958290440;94;63;
346332313078071307;232;63;
671068978516459521;766;61;
258308217564561408;781;50;
260455062093037568;611;47;
654782502690357258;437;34;
361902455786569729;985;31;
680825079965286413;517;26;
254254466004549632;241;20;
373620128803454977;514;19;
381407252235550720;47;19;
209675084607127553;574;12;
564200023622156306;155;11;
263672571659026432;198;9;
401520092342517761;902;8;
323900932045799430;145;7;
406501936842670081;500;6;
442719016985821195;482;6;
479612527144206337;48;6;
340928115037700097;960;4;
252461593051398144;815;4;
256508540338962435;593;4;
692079163963867198;560;4;
443169135220752386;35;4;
317004861164224513;862;3;
260752852048150538;862;3;
190811902694260737;236;3;
506061196663848969;229;3;
492708120343347200;708;2;
496304559174451201;655;2;
455376132133355522;562;2;
234717858872033282;546;2;
395738951425589259;273;2;
430394326711795715;129;2;
293076513408942080;859;1;
365848966434258955;615;1;
386940663146479616;493;1;
159985870458322944;655;1;
307159083595857922;217;1;
318687197777625088;215;1;
188893043577847808;207;1;
515629000492711943;107;1;
269135852557434890;988;0;
184680307264454656;934;0;
409432611975331844;705;0;
516227515195588609;702;0;
188903898470154240;465;0;
452598577685069857;280;0;
703932476204122223;140;0;
191276550312689675;127;0;
235088799074484224;105;0;
248158979903979520;102;0;
697560606076829763;70;0;
269593315811262475;70;0;
266245847577133058;70;0;
231849525185216512;35;0;
410138706490425344;35;0;
692448069295538187;35;0;
423551033659097101;35;0;
347234827432624128;35;0;
423838794886676482;35;0;
675363178418405434;35;0;
189460706574204928;18;0;
290170823673643019;8;0;
294477359610986497;1;0;
